Year,Summer,Summer,Summer,Summer,Winter,Winter,Winter,Winter
,Female_count,Male_count,%Growth_Female,%Growth_Male,Female_count,Male_count,%Growth_Female,%Growth_Male
1896,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,33.0,1865.0,0.0,390.79,0.0,0.0,0.0,0.0
1904,16.0,1285.0,-51.52,-31.1,0.0,0.0,0.0,0.0
1906,11.0,1722.0,-31.25,34.01,0.0,0.0,0.0,0.0
1908,47.0,3022.0,327.27,75.49,0.0,0.0,0.0,0.0
1912,87.0,3953.0,85.11,30.81,0.0,0.0,0.0,0.0
1920,134.0,4158.0,54.02,5.19,0.0,0.0,0.0,0.0
1924,234.0,4876.0,74.63,17.27,17.0,443.0,0.0,0.0
1928,391.0,4265.0,67.09,-12.53,33.0,549.0,94.12,23.93
1932,265.0,2200.0,-32.23,-48.42,22.0,330.0,-33.33,-39.89
1936,447.0,5804.0,68.68,163.82,81.0,814.0,268.18,146.67
1948,610.0,5698.0,36.47,-1.83,133.0,942.0,64.2,15.72
1952,1497.0,6773.0,145.41,18.87,185.0,903.0,39.1,-4.14
1956,893.0,4234.0,-40.35,-37.49,246.0,1061.0,32.97,17.5
1960,1435.0,6684.0,60.69,57.86,295.0,821.0,19.92,-22.62
1964,1348.0,6354.0,-6.06,-4.94,404.0,1374.0,36.95,67.36
1968,1777.0,6811.0,31.82,7.19,416.0,1475.0,2.97,7.35
1972,2193.0,8111.0,23.41,19.09,415.0,1240.0,-0.24,-15.93
1976,2172.0,6469.0,-0.96,-20.24,434.0,1427.0,4.58,15.08
1980,1756.0,5435.0,-19.15,-15.98,430.0,1316.0,-0.92,-7.78
1984,2447.0,7007.0,39.35,28.92,536.0,1598.0,24.65,21.43
1988,3543.0,8494.0,44.79,21.22,680.0,1959.0,26.87,22.59
1992,4124.0,8853.0,16.4,4.23,1054.0,2382.0,55.0,21.59
1994,0.0,0.0,0.0,0.0,1105.0,2055.0,4.84,-13.73
1996,5008.0,8772.0,21.44,-0.91,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,1384.0,2221.0,25.25,8.08
2000,5431.0,8390.0,8.45,-4.35,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,1582.0,2527.0,14.31,13.78
2004,5546.0,7897.0,2.12,-5.88,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,1757.0,2625.0,11.06,3.88
2008,5816.0,7786.0,4.87,-1.41,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,1847.0,2555.0,5.12,-2.67
2012,5815.0,7105.0,-0.02,-8.75,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,2023.0,2868.0,9.53,12.25
2016,6223.0,7465.0,7.02,5.07,0.0,0.0,0.0,0.0
